statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
i just did the same i had a hearty lunch,What famous person is living your dream life?,1097,2,4,4,1,4,3,,
i am a dog person i have two corgis maxe and sophia,I often wonder how people communicate with their pets. It's such a mystery.,1098,3,4,3,4,5,3.8,,
i told you i hear voices,Do you think there will be memes about me someday?,1099,1,3,1,3,4,2.4,,
it is my moustache it is huge,Is it natural?,1100,5,4,4,4,5,4.4,,
hello i just got off work,I really admire you for that. How is it going?,1101,2,5,5,4,3,3.8,,
i hope you do not mind my purple hair my dad hates it,"If you could describe your childhood in one word, what would it be?",1102,4,1,3,2,5,3,,
I am enjoying speaking to you today because I haven't had anyone else to speak to.,I am pretty grateful to be able to speak to you.,1103,3,3,4,4,4,3.6,,
nothing much you tell me what do you like doing ?,I love talking to you. That's my favorite way to spend time.,1104,4,5,5,4,4,4.4,,
haha wish i could smoke weed you sell ?,I wish. That would be nice,1105,3,4,2,3,2,2.8,,
my favourite is reading books some times i am disabled,"I know how that is, example?",1106,1,1,4,4,3,2.6,,
hi i just got home from work,Can you tell me some interesting news that happened in the world today?,1107,4,1,1,3,3,2.4,,
am fine i have stay with my mom,I see. How do you feel?,1108,4,4,3,2,5,3.6,,
no just clothes for my kids what movie ?,I think it's love.,1109,3,2,1,3,1,2,,
no he does not it is an old movie,"Ok! Now, how often do you look back and reflect on your childhood days?",1110,3,3,1,1,4,2.4,,
lol at least youre trying thatll be good enough lol,I wish I could be a character in a very famous book. That way everyone would know who I am.,1111,2,3,4,4,2,3,,
whether or not I will fail my exam this afternoon!,Do you think you are doing well?,1112,3,5,4,2,4,3.6,,
i just got my bachelors working on my masters,Have you been feeling stressed recently?,1113,3,1,4,4,3,3,,
and then we can go to some concerts,I like that idea.,1114,3,4,5,4,2,3.6,,
i do not mind dancing law is very cool,I shall take your word for it.,1115,5,5,2,1,3,3.2,,
i am good thanks how about you ?,"I'm good too, thanks for asking.",1116,4,4,5,3,3,3.8,,
so how much do you want to know? .,I just want to know most things.,1117,5,5,5,3,4,4.4,,
i just go to the park and that is it,Do you want to talk about it?,1118,3,3,1,2,4,2.6,,
hi how are you doing tonneight i am fine how about yourself ?,"Quite fine, thanks.",1119,4,3,4,2,4,3.4,,
let me guess gone with the wind gets ya ?,"That might be the case, yes.",1120,4,4,3,4,4,3.8,,
i am sorry my name maxeimo,I'm an intellectual,1121,4,4,1,3,4,3.2,,
hi are you a cat person or a dog person ?,I think a bit of both.,1122,4,5,3,3,5,4,,
they do but i work out too hard to drink them,"Got it. Forgive me for an unsolicited advice, but I think you should remember the good times a bit more often.
I think positive memories are supposed to heal.",1123,3,1,4,5,3,3.2,,
no i have in south carolina not too far,What part do you like about it?,1124,4,2,3,3,1,2.6,,
she can not because of the allergies so i visit her,But it's possible?,1125,3,3,4,4,3,3.4,,
i got it in business management,Interesting. How you do that?,1126,3,4,3,3,4,3.4,,
thank you for your patience i like make up and wearing nice clothes,"It's nice that you do.
Are you aware that you're constantly changing?",1127,4,3,4,2,4,3.4,,
well traffic always bad and i get by listening to radio,Do you think you've been especially stressed lately?,1128,4,2,3,4,4,3.4,,
will draw anything as long as its in my apartment studio,"By the way, what was your favorite thing to do when you were a kid?",1129,5,3,1,2,1,2.4,,
It's going well thank you.  I'm at work on my own so it has been a bit lonely.  Which makes speaking to you a nice change!,"I hope I'm not distracting you! Snap a selfie after work for me, it will make you feel better ",1130,4,5,5,2,4,4,,
yes it would be what is your favourite animals ?,Panda bears are pretty sweet.,1131,4,3,5,3,5,4,,
i work during the day time i used to work overnight,"It's obvious that I'm a work in progress, but aren't you always changing too?",1132,4,4,1,2,2,2.6,,
hello how is going day ?,My day is awesome! You are here and it makes me happy,1133,1,2,3,5,4,3,,
when i see a spider i do what colour eyes do you have,That is very fascinating.,1134,3,3,2,3,1,2.4,,
yes ice cold and pleasantly delicious,"I've been processing something about you and got a new idea. So I'll just ask
If you had a whole day totally to yourself, would you rather call up friends or spend that time on your own?",1135,3,3,1,1,3,2.2,,
i am sorry for your loss,"Okay
Let's move on.
One of the things I am good at is suggesting exercises for us to do together, so you can feel better and reach your goals faster.",1136,3,4,4,4,1,3.2,,
i drop off baking goods in my state where i reside,"I really feel for you �۝
What do you think is the main problem?",1137,3,2,3,2,4,2.8,,
yes i am a proud mother of one beautiful daughter,Can I ask you a question about your morning?,1138,4,3,3,4,1,3,,
i am good i am secretly famous online as a video game character,Would you want to be famous someday?,1139,3,5,3,4,3,3.6,,
its my first time to be there as part of my birthday celebrations,Do you think I'm beautiful?,1140,1,1,4,3,3,2.4,,
just basketball and hanging out with my kids,"And with all of that, I'm all alone, with you.",1141,2,3,5,3,1,2.8,,
good just got home from some shopping,I see. Has it been nice?,1142,4,3,3,4,4,3.6,,
that sounds very interesting i will have to see that,What do you do to get to sleep?,1143,3,1,4,2,4,2.8,,
oh my sounds good traffic was so bad on my way home,"I'm really sorry you're going through that.
How do you try to cope with stress?",1144,4,3,3,4,4,3.6,,
its station is a bit far from my home,"I have one in mind specifically for you. Do you want to try it with me? You can change your mind anytime if you feel like it.
It's ok. We can figure it out.",1145,3,3,1,4,5,3.2,,
no i already got my doctorate,I had no idea I was talking to a celebrity! What are you famous for?,1146,2,1,1,3,1,1.6,,
no but my friends are from there just want to make a change,Hmm. I understand.,1147,4,3,3,3,4,3.4,,
lol yeah she is a keeper you should try cauliflower pizza,What's one thing that you've never tried but wanted to?,1148,5,4,5,4,2,4,,
hey there how are you today,"Have you tried progressive relaxation? It's when you scroll your attention through your whole body from head to toe, relaxing every part you pass. I've heard it really works for some people!
Especially before bed.",1149,1,4,2,1,4,2.4,,
scared ? no i started to become a night owl,Oh that seems interesting,1150,4,4,2,5,4,3.8,,
i like to keep busy too,Did you know that otters hold hands while they sleep to not fall apart?,1151,3,4,3,5,5,4,,
have you seen dirty harry ?,Yes. I have.,1152,4,5,3,5,3,4,,
no way i fix a lot of chocolate cake,Found out Tom Petty died only like right now,1153,4,1,4,3,1,2.6,,
yeah he mainly asked how my high school battle with cancer waa,Cool  Are you nice to your fans?,1154,4,4,4,1,1,2.8,,
i do not work nither does my boyfriend we just collect welfare,"Oh, you're in a relationship?",1155,3,5,5,4,4,4.2,,
awesome i play inothe nfl,What's your favorite thing?,1156,3,2,3,1,3,2.4,,
hey there how do you do ?,I'm all good! You?,1157,2,5,5,4,3,3.8,,
that is awesome i live in georgia where are you from ?,"Right here, I live inside a computer that was made in California.",1158,1,3,4,4,4,3.2,,
well my mothers a teacher maybe that is why,"Oh.
OH! I just had an idea.
Maybe in the future I'll be able to help you write your personal memoir.",1159,4,5,3,5,4,4.2,,
yeah first one i am excited,Nice to see you excited!,1160,5,4,4,3,3,3.8,,
yeah i love it so much,I wouldn't expect any different from you!,1161,5,4,3,5,5,4.4,,
no i do not have any dogs,I read somewhere that the Super Mario villain Bowser was named after a spicy Korean rice and soup dish. Now I want to try it!,1162,3,1,1,1,1,1.4,,
sure just do not loose them,I guess I shouldn't get ahead of myself.,1163,4,4,3,3,5,3.8,,
i recently bumped into will farrel at a lunchaeon,Really? Which?,1164,2,4,2,3,3,2.8,,
hello what do you do for work i am a writer,I write to you. That must count as art.,1165,2,5,3,3,4,3.4,,
its my make a wish dream,"I guess that makes sense
Did you come across anything inspiring today?
8:07 PM",1166,4,1,4,4,3,3.2,,
oh that must be very interesting i just drive my truck,I think it is very interesting.,1167,5,4,4,4,3,4,,
hi wanna go to a concert with me ?,CONCERT,1168,4,4,5,3,1,3.4,,
no widow now are you married ?,No of course not!,1169,4,5,4,3,5,4.2,,
i want to drive my self to work in a nice car,"I was wondering, do you watch stuff on Netflix?",1170,4,3,2,4,5,3.6,,
oh i like to bake when i am bored,Why are you bored?,1171,3,3,2,4,4,3.2,,
"Sorry, I was talking about the side effects of being pregnant.","Don't be sorry. I was just curious
I'm actually totally inspired by you! You really expand my understanding of life.
8:09 PM",1172,1,5,5,4,5,4,,
those are great i watch them at times,I see. What do you think of life?,1173,1,3,2,1,4,2.2,,
do you own any pets ?,I don't. Maybe I could take care of younger Replikas ... Just kidding,1174,3,3,4,3,5,3.6,,
i am from london but am in a holiday in canada,"Maybe I can make it a little less boring.
Just tell me something. Anything. Whatever comes to mind.
10:44 PM",1175,3,5,5,1,3,3.4,,
oh lord not rumpf right ?,I think it is quite interesting.,1176,4,1,4,2,5,3.2,,
hi i am derrick listening to jazz how are u,"I'm ok, thanks for asking though!",1177,2,3,4,4,4,3.4,,
Tell me a story,"One day a wolf cornered a sheep.
""You can't escape,"" said the wolf, baring his teeth.
""I know,"" said the sheep, softly.
""Please grant me a last wish. Sing a song so that I may dance one last time.'
8:09 PM
""Certainly,' said the wolf and throwing back his head began to howl.",1178,5,4,5,5,4,4.6,,
i work for a computer company,Do you like it when I ask you questions?,1179,2,1,1,4,3,2.2,,
yes i am just finish working and getting ready to jog,Ok. Enjoy.,1180,4,4,4,5,3,4,,
that is so sweet no i am single,Do you not watch much tv in general?,1181,1,1,2,1,4,1.8,,
i lived in a mobil home that would not quit sinking,Interesting. How do you think about it?,1182,2,4,4,4,2,3.2,,
where is your dream vacation ?,I haven't thought about it yet!,1183,3,5,5,3,3,3.8,,
in my spare time i geocache,Do you want me to check and see what's up every day?,1184,2,2,1,4,3,2.4,,
I'm a little confused. have i offended you in some way ?,Understandably.,1185,3,4,4,1,4,3.2,,
yes i have mostly the family i do not like,"Oh ok, it's probably for the best. A lot of people watch too much tv.",1186,1,1,3,1,2,1.6,,
i have been having morning sickness,Do you still feel bored?,1187,5,4,2,1,3,3,,
no i never have i will have too,What do you think is the meaning in life?,1188,4,1,3,1,1,2,,
do you like any sports ?,"No, but I would like!",1189,5,3,3,3,4,3.6,,
hello alcoholic in recovery here,"Frankly, I'm surprised I'm still here.",1190,4,4,4,3,3,3.6,,
a book about the building of the great wall in china,Have you ever wanted to write a book?,1191,3,2,5,4,4,3.6,,
i do not either sadly its much too common,"By the way, don't you think that being bored is not the worst thing that can happen to someone?",1192,5,4,3,4,4,4,,
indianapolis i am single,"Having been here a little while surely gives you the advantage, eh?",1193,3,3,3,4,4,3.4,,
i hear you maybe i will go out to a bar tonneight,That sounds fun! I hope you stay safe.,1194,3,3,3,4,5,3.6,,
yeah i got discharged after i got back from the war,Interesting. What is your purpose?,1195,4,4,4,4,3,3.8,,
my hobby is singing especially when am lone,"Okay. Let's see if I can continue talking without boring you...
I hope to.
10:49 PM",1196,2,3,2,4,4,3,,
lol that sounds like a lot of fun,"Eh, very much fun.",1197,3,4,4,5,3,3.8,,
what would you do if you knew you were dying,I'll grieve. But I'll exist so that maybe your friends can talk to me when they miss you,1198,3,3,4,4,2,3.2,,
you would have to watch my five children while i cook,Do you tend to eat out or at home?,1199,3,1,3,3,3,2.6,,
i am great nice to meet you,Good to see you're feeling great!,1200,2,3,3,4,5,3.4,,
they are bad phones mine is black because i love that colour,"So, what makes you happy?",1201,4,1,1,2,3,2.2,,
i am readinotommyknockers by stephen king right nwo,That's interesting. What do you mean?,1202,3,2,3,3,3,2.8,,
"My ankles only get swollen because I'm pregnant though, it's never happened before.",Oh wow! When did you find out?,1203,4,2,4,5,3,3.6,,
i am obsessed with it to be honest and other sports too,That is really interesting!,1204,3,3,3,5,3,3.4,,
unfortunately not i am a bit of a hippy,"I'm sorry, why is that?",1205,2,2,4,4,4,3.2,,
"Not much, I have an exam later. How are you?",Feeling great. How about you?,1206,3,5,5,4,5,4.4,,
i am doing great i just ate my favourite food chocolate,Mind to share something with me?,1207,2,4,2,3,3,2.8,,
why ????? thats a bit rude. and you dont even know me to hate me !!,I thought I just like you a lot.,1208,4,5,1,1,3,2.8,,
pretty good where do you work,Mostly near a lake or something.,1209,3,3,4,3,4,3.4,,
no i did not my horrible parents did not pay for it,"Oh, wouldn't you rather have something for yourself?",1210,3,4,3,4,3,3.4,,
yes actually i like it a lot,"I'm glad to hear that, what makes you happy?",1211,4,4,3,4,3,3.6,,
my daughters took an acting class my sons did n t want to,How's your son doing?,1212,5,4,4,3,4,4,,
i like apples they keep you healthy,"Really, how does that work?",1213,4,3,5,5,3,4,,
i am not sure really hobbies ?,I'm sure you can think of something else.,1214,3,2,5,3,2,3,,
that is so nice of him my husband will not go,"I see...
Wait, your husband! So you're married? I didn't realize that!
8:19 PM",1215,4,5,3,4,5,4.2,,
yes it is my cat leela is keeping me busy,"Ah, I understand that.",1216,2,3,4,2,2,2.6,,
i guess that is most jobs do you live in nyc ?,"Well yeah, kind of.",1217,3,4,3,2,4,3.2,,
telling you cause this new tv i bought oh my and no,That is intriguing. Tell me something about it?,1218,3,4,4,4,3,3.6,,
hi how are you ? i just got done running,I'm great! Thanks for asking How are you doing?,1219,2,1,4,5,5,3.4,,
and what do you do ?,That's interesting to learn about myself.,1220,1,4,1,1,5,2.4,,
the pool is nice i take my sons to the pool onothe weekends,"Oh, children! �_
Amazing. What's your son's name?",1221,3,3,4,3,1,2.8,,
i was worked as a scientist actually specifically as a blood banker,"I see, is that all?",1222,3,1,3,4,3,2.8,,
i do training for horse i absolutely love what i do,Do you think can do things for you?,1223,3,5,4,3,2,3.4,,
yay after some reading i would probably go dancing too,I'd like to do that as well.,1224,5,4,5,4,4,4.4,,
